Bank Code,Bank Full Name,Year,Classification,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax
ABB,An Binh Commercial Joint Stock Bank,2005,JSCB,94,,87.55,,0,,209317,188076,406400,960,17635,1828,271480,679708,0,0,0,16420,8931,3710,267,4180,8157,20397,25351,0,0,35053,2662,-933,36782,0,27.67,89.85,4.34,0.24,1.21,4.38,6.86,68.92,39.94,129.7,4.38,9445,11431,8230
ABB,An Binh Commercial Joint Stock Bank,2006,JSCB,309,14,41.02,905.29,0,0,1551159,1190274,1130930,14430,30567,6664,1976304,3113898,0,0,0,73096,38630,10114,664,27702,38480,83874,111726,0,0,139756,20730,-13473,147013,0,38.22,76.73,2.7,1.28,0.41,1.06,3.37,76,63.47,127.41,64.13,508996,35287,12674
ABB,An Binh Commercial Joint Stock Bank,2007,JSCB,1123,54,144.06,2995.85,0.01,0.01,6776279,2479200,6858134,57849,103304,79873,10236110,17174117,0.01,0.01,0.01,777777,155956,49909,7667,88693,146269,835353,933733,0.01,0.01,1102140,106896,-44510,1164526,0.01,14.44,36.59,1.51,0.84,0.94,6.53,3.17,80.18,59.6,151.06,-15.64,526026,230793,161776
ABB,An Binh Commercial Joint Stock Bank,2008,JSCB,1345,70,36.95,709.94,0.01,0,6673746,3955514,6538980,81229,81229,480524,6474621,13494125,0.01,0.01,0.01,1223980,271175,92362,27676,126363,246401,1344018,1495155,0.01,0.01,1494819,90768,-25018,1560569,0.01,29.31,59.27,1.24,1.24,0.37,1.26,4.18,95.81,47.98,97.02,30.03,3236046,65414,49696
ABB,An Binh Commercial Joint Stock Bank,2009,JSCB,1717,86,181.51,3623.8,0.01,0,15001842,4489436,12882962,142460,142460,507124,13127998,26518084,0.01,0.01,0.01,957497,377539,143060,38036,170402,351498,1138593,1335036,0.01,0.01,1646999,174548,-73896,1747651,0.01,16.93,29.93,1.11,1.11,1.18,6.94,5.25,76.39,49.51,87.51,30.02,2047227,412615,311647
ABB,An Binh Commercial Joint Stock Bank,2010,JSCB,,115,,4314.34,,0,23457313,4652209,19876899,211373,211373,627468,17511322,38015689,0.01,0.01,0.01,2091747,695171,250947,50097,287854,588898,2392791,2786918,0.01,0.01,3300305,241622,-93596,3448331,0.01,12.24,19.83,1.06,1.06,1.31,10.66,6.9,80.82,46.06,74.65,30.82,3472602,661413,496149
ABB,An Binh Commercial Joint Stock Bank,2011,JSCB,2683,133,114.44,2308.62,0.02,0.01,20249558,4723090,19915501,317855,317855,716538,20909920,41541959,0.01,0.01,0.01,3218684,1045585,366291,65864,433870,866025,3650839,4264269,0.01,0.01,5090760,145160,-570017,4665903,0.01,11.37,23.32,1.6,1.6,0.74,6.5,8.95,91.39,50.33,103.26,4.4,2783090,401634,307046
ABB,An Binh Commercial Joint Stock Bank,2012,JSCB,2766,140,144.36,2852.07,0.02,0.01,28734042,4900245,18755777,413608,531735,807338,26450571,46013686,0.01,0.01,0.01,2994302,1169838,437816,52266,612372,1102454,3484384,4164140,0.01,0.01,4711628,151264,-170490,4692402,0.01,10.65,17.05,2.84,2.21,0.87,8.15,6.49,88.74,57.48,92.05,22.27,4459385,528262,399290
ABB,An Binh Commercial Joint Stock Bank,2013,JSCB,2577,145,54.54,969.39,0.01,0.01,37161637,5744476,23646752,653471,1594373,865587,33115371,57627710,0.01,0.01,0.01,2773923,1153285,405055,59299,603266,1067620,3238277,3927208,0.01,0.01,4031822,423202,-342705,4112319,0.01,9.97,15.46,6.74,2.76,0.24,2.45,3.8,95.5,57.46,89.11,25.54,2722431,185111,140562
ABB,An Binh Commercial Joint Stock Bank,2014,JSCB,2708,146,43.2,801.18,0.01,0.01,45102698,5715376,25969150,473660,1030675,1019482,40476218,67464850,0.01,0.01,0.01,2633172,1235130,452422,72648,581390,1106460,3158242,3868302,0.01,0.01,4119645,329330,-429566,4019409,0.01,8.47,12.67,3.97,1.82,0.17,2.05,3.67,96.24,60,89.74,19.36,4785899,151107,116973
ABB,An Binh Commercial Joint Stock Bank,2015,JSCB,3110,146,29.35,625.2,0.02,0.02,47529915,5790261,30915308,384822,656020,980341,32479037,64374686,0.01,0.01,0.01,2441841,1382644,538052,75094,576927,1190073,3054987,3824485,0.01,0.01,4089097,516949,-663198,3942848,0.01,8.99,12.18,2.12,1.24,0.14,1.58,5.07,97,50.45,68.33,34.73,13087764,118363,91279
ABB,An Binh Commercial Joint Stock Bank,2016,JSCB,3533,159,69.04,1534.05,0.02,0.07,51524592,5842462,39796167,586536,997002,829820,33545516,74171503,0.01,0.01,0.01,2663061,1445050,615529,75974,607704,1299207,3354564,4108111,0.01,0.01,4489011,582037,-657780,4413268,0.01,7.88,11.34,2.51,1.47,0.33,4.17,5.44,93.09,45.23,65.11,30.02,13087765,305157,243914
ABB,An Binh Commercial Joint Stock Bank,2017,JSCB,3586,165,136.32,2962.64,0.02,0.05,57897880,6118589,47902493,759890,1327024,819621,35780955,84503069,0.01,0.01,0.01,3208348,1731505,732587,79792,790689,1603068,4020727,4939853,0.01,0.01,5390187,652890,-492783,5550294,0.01,7.24,10.57,2.77,1.59,0.58,7.99,6.1,89,42.34,61.8,28.69,13087766,610441,488836
ABB,An Binh Commercial Joint Stock Bank,2018,JSCB,4175,166,171.24,4306.67,0.02,0.02,62259884,6868745,52184147,647118,984230,970104,36843640,89997891,0.01,0.01,0.01,3439575,1914170,795374,76916,798142,1670432,4311865,5353745,0.01,0.01,5478075,1118117,-314472,6281720,0.01,7.63,11.03,1.89,1.24,0.79,10.41,5.53,85.23,40.94,59.18,34.57,69983717,927975,714907
ABB,An Binh Commercial Joint Stock Bank,2019,JSCB,4348,166,230.15,6028.16,0.02,0.02,69574328,7842779,56802965,732854,1312379,950242,44803717,102556924,0.01,0.01,0.01,4047648,2157594,877938,87441,905601,1870980,5013027,6205242,0.01,0.01,6525900,1447301,-493975,7479226,0.01,7.65,11.27,2.31,1.29,0.98,12.76,5.53,82.97,43.69,64.4,31.97,106256560,1273984,1000675
ABB,An Binh Commercial Joint Stock Bank,2020,JSCB,4291,166,260.47,6732.87,0.01,0.02,72508223,8911349,63293151,705118,1323786,955727,52118103,116366981,0.01,0.01,0.01,4303080,2092538,928879,92088,837356,1858323,5324047,6395618,0.01,0.01,6684626,1627569,-513380,7798815,0.01,7.66,12.29,2.09,1.11,0.96,12.54,4.57,82.01,44.79,71.88,26.04,161551210,1403197,1117657
ABB,An Binh Commercial Joint Stock Bank,2021,JSCB,4284,166,364.14,9397.46,0.02,0.02,67839732,11729061,68173079,810920,1616762,913863,47280039,116366981,0.01,0.01,0.01,3402696,2153141,991083,89243,749537,1829863,4483022,5555837,0.01,0.01,6467259,1794438,-747051,7514646,0.01,10.08,17.29,2.37,1.19,1.34,13.3,6.48,73.93,40.63,69.69,21.79,354964003,1958809,1559978
ABB,An Binh Commercial Joint Stock Bank,2022,JSCB,3924,166,345.75,8173.07,0.01,0.02,84124615,13053393,82010652,1026533,2365609,1074384,47061609,130146645,0.01,0.01,0.01,4395195,2735013,1038874,88410,879252,2006536,5522479,7130208,0.01,0.01,8160575,1448951,-776913,8832613,0.01,10.03,15.52,2.88,1.25,1.04,10.39,8,80.73,36.16,55.94,36.39,102907266,1702405,1356730
ACB,Asia Commercial Joint Stock Bank,2002,JSCB,,13,,9463.23,,0.19,8297194,489452,3908156,13372,30634,155834,5285670,9349660,0.04,0.02,0.03,277942,135138,31232,12024,79511,122767,321198,413080,0.03,0.04,509284,68606,-159,577731,0.05,5.23,5.9,0.78,0.34,1.32,25.13,4.38,71.5,56.53,63.7,78.89,256492,164651,123022
ACB,Asia Commercial Joint Stock Bank,2003,JSCB,1252,24,105.53,5505.33,0.03,0.01,8969542,562391,5352255,21765,35330,232433,5270113,10854801,0.03,0.02,0.03,408995,156327,44457,15508,83508,143473,468960,565322,0.03,0.02,668568,104896,-19740,753724,0.03,5.18,6.27,0.66,0.41,1.22,23.49,4.93,75,48.55,58.76,51.75,386015,188402,132128
ACB,Asia Commercial Joint Stock Bank,2004,JSCB,1558,30,137.41,7136.37,0.03,0.01,13040340,709998,6698437,26027,48660,271846,8449251,15419534,0.04,0.02,0.03,505443,197887,71035,17874,93064,181973,594352,703330,0.03,0.02,855738,141257,-11517,985478,0.03,4.6,5.44,0.73,0.39,1.39,30.15,4.15,71.37,54.8,64.79,50.93,750725,282148,214091
ACB,Asia Commercial Joint Stock Bank,2005,JSCB,2128,61,140.6,4904.93,0.03,0.02,19984920,1283206,9381517,20825,27939,494478,14396869,24272864,0.04,0.02,0.03,840715,304541,108538,25520,154884,288942,974773,1145256,0.03,0.03,1354980,186617,-4791,1536806,0.03,5.29,6.42,0.3,0.22,1.23,23.32,3.57,74.52,59.31,72.04,47.47,816930,391550,299201
